isTest,sid,class,cluster,0,1,2,3,4
0,1,3,0,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,0,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,0,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,0,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,0,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,0,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,0,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,0,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,3,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,3,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,3,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,2,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,2,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,2,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,2,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,2,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,2,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,2,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
0,1,3,2,0.4117647058823529,0.0196078431372549,0.21568627450980393,0.13725490196078433,0.21568627450980393
